picture_id,picture_title,genres,ratings,picture_logo
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,3.8724696356,/media/Toy Story (1995)
2,Jumanji (1995),Adventure|Children|Fantasy,3.4018691589,/media/Jumanji (1995)
3,Grumpier Old Men (1995),Comedy|Romance,3.1610169492,/media/Grumpier Old Men (1995)
4,Waiting to Exhale (1995),Comedy|Drama|Romance,2.3846153846,/media/Waiting to Exhale (1995)
5,Father of the Bride Part II (1995),Comedy,3.2678571429,/media/Father of the Bride Part II (1995)
6,Heat (1995),Action|Crime|Thriller,3.8846153846,/media/Heat (1995)
7,Sabrina (1995),Comedy|Romance,3.2830188679,/media/Sabrina (1995)
8,Tom and Huck (1995),Adventure|Children,3.8,/media/Tom and Huck (1995)
9,Sudden Death (1995),Action,3.15,/media/Sudden Death (1995)
10,GoldenEye (1995),Action|Adventure|Thriller,3.4508196721,/media/GoldenEye (1995)
11,"American President, The (1995)",Comedy|Drama|Romance,3.6890243902,"/media/American President, The (1995)"
12,Dracula: Dead and Loving It (1995),Comedy|Horror,2.8611111111,/media/Dracula: Dead and Loving It (1995)
13,Balto (1995),Adventure|Animation|Children,3.9375,/media/Balto (1995)
14,Nixon (1995),Drama,3.4516129032,/media/Nixon (1995)
15,Cutthroat Island (1995),Action|Adventure|Romance,2.3181818182,/media/Cutthroat Island (1995)
16,Casino (1995),Crime|Drama,3.9488636364,/media/Casino (1995)
17,Sense and Sensibility (1995),Drama|Romance,3.9244186047,/media/Sense and Sensibility (1995)
18,Four Rooms (1995),Comedy,3.2884615385,/media/Four Rooms (1995)
19,Ace Ventura: When Nature Calls (1995),Comedy,2.597826087,/media/Ace Ventura: When Nature Calls (1995)
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,2.5384615385,/media/Money Train (1995)
21,Get Shorty (1995),Comedy|Crime|Thriller,3.5368421053,/media/Get Shorty (1995)
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,3.3552631579,/media/Copycat (1995)
23,Assassins (1995),Action|Crime|Thriller,3.0909090909,/media/Assassins (1995)
24,Powder (1995),Drama|Sci-Fi,3.0441176471,/media/Powder (1995)
25,Leaving Las Vegas (1995),Drama|Romance,3.7425742574,/media/Leaving Las Vegas (1995)
26,Othello (1995),Drama,4.1,/media/Othello (1995)
27,Now and Then (1995),Children|Drama,3.1428571429,/media/Now and Then (1995)
28,Persuasion (1995),Drama|Romance,4.0833333333,/media/Persuasion (1995)
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,4.025,"/media/City of Lost Children, The (Cité des enfants perdus, La) (1995)"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,4.05,/media/Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
31,Dangerous Minds (1995),Drama,3.1785714286,/media/Dangerous Minds (1995)
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,3.9234693878,/media/Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
34,Babe (1995),Children|Drama,3.6013513514,/media/Babe (1995)
35,Carrington (1995),Drama|Romance,3.5454545455,/media/Carrington (1995)
36,Dead Man Walking (1995),Crime|Drama,3.9375,/media/Dead Man Walking (1995)
37,Across the Sea of Time (1995),Documentary|IMAX,2,/media/Across the Sea of Time (1995)
38,It Takes Two (1995),Children|Comedy,2,/media/It Takes Two (1995)
39,Clueless (1995),Comedy|Romance,3.55,/media/Clueless (1995)
40,"Cry, the Beloved Country (1995)",Drama,3.9166666667,"/media/Cry, the Beloved Country (1995)"
41,Richard III (1995),Drama|War,4.0217391304,/media/Richard III (1995)
42,Dead Presidents (1995),Action|Crime|Drama,2.3333333333,/media/Dead Presidents (1995)
43,Restoration (1995),Drama,3.625,/media/Restoration (1995)
44,Mortal Kombat (1995),Action|Adventure|Fantasy,2.6973684211,/media/Mortal Kombat (1995)
45,To Die For (1995),Comedy|Drama|Thriller,3.523255814,/media/To Die For (1995)
46,How to Make an American Quilt (1995),Drama|Romance,3.1666666667,/media/How to Make an American Quilt (1995)
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,4.0348258706,/media/Seven (a.k.a. Se7en) (1995)
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,2.9262295082,/media/Pocahontas (1995)
49,When Night Is Falling (1995),Drama|Romance,4,/media/When Night Is Falling (1995)
